SeasonalCluster,CampsiteCluster,BrandGroupCode,CampsiteCode,latitude,longitude,AccoTypeRangeCode,AccoKindCode,AccommodationType,AccommodationRange,CampsiteCountry,CampsiteRegion,CampsiteType,Airco,Bedrooms,DeckingType,HotTub,Tropical,Roof,Kitchen,DeckingExtras,Bathrooms,Sleeps,TV
Perrserker,Froakie,Thundurus,Meditite,35.2708,22.4478,Comfort,Mobile,All-Inclusive,Budget,Lental,Alola,Cabin,0,2,Tile,0,0,Canvas,Gourmet,BBQ,1,234,0
Whimsicott,Tapulele,Tinglu,Drampa,44.8769,6.7016,Comfort,Mobile,Basic,Premium,Orre,Kalos,Villa,0,2,Wood,1,0,Tile,Kitchenette,Pool Access,1,590,1
Eelektross,Garbodor,Armaldo,Fearow,50.7137,19.3604,Romantic,Mobile,Serviced,Mid,Oblivia,Unova,Glamping,1,2,Missing,0,0,Metal,Missing,Pool Access,2,349,1
Electrode,Furfrou,Espeon,Krabby,60.4678,19.9136,Luxury,Permanent,Basic,Budget,Almia,Sinnoh,Cabin,0,2,Missing,0,0,Canvas,Missing,Hot Tub,1,305,0
Gossifleur,Duraludon,Slowpoke,Carnivine,59.1798,20.3155,Standard,Static,Self-Catering,Mid,Almia,Sinnoh,Lodge,0,1,Wood,0,0,Wood,Full,Missing,2,435,1
Honedge,Charjabug,Naganadel,Zoroark,36.0265,26.1923,Comfort,Permanent,Serviced,Premium,Lental,Alola,Villa,1,4,Missing,0,0,Metal,Missing,Missing,2,950,1
Jynx,Revavroom,Blissey,Combee,40.7969,-2.6525,Romantic,Mobile,Self-Catering,Mid,Fiore,Paldea,Cabin,0,1,Stone,0,0,Metal,Basic,Furniture,1,211,0
Cobalion,Duosion,Caterpie,Glaceon,53.9458,23.6266,Standard,Static,Serviced,Mid,Oblivia,Unova,Glamping,0,2,Wood,0,0,Wood,Basic,BBQ,2,168,1
Sentret,Ralts,Steenee,Trubbish,59.4492,7.6604,Romantic,Seasonal,Serviced,Premium,Ferrum,Hisui,Tent,1,2,Wood,0,0,Thatched,Full,BBQ,1,369,0
Gothitelle,Caterpie1,Decidueye,MimeJr,33.8864,24.4603,Standard,Static,Serviced,Budget,Lental,Alola,Villa,0,1,Composite,0,0,Wood,Missing,BBQ,1,208,0
Volcarona,Sandygast,Buizel,Gimmighoul,49.2556,13.8868,Comfort,Mobile,Serviced,Mid,Ransei,Kanto,Bungalow,0,1,Wood,0,1,Metal,Full,Garden,2,242,0
Sobble,Regieleki,Illumise,Appletun,49.3836,-1.916,Comfort,Mobile,Self-Catering,Mid,Orre,Johto,Glamping,0,1,Stone,0,0,Metal,Basic,Garden,1,314,1
Haxorus,Munchlax,Zubat,Chansey,40.7392,-0.8025,Luxury,Seasonal,Basic,Mid,Fiore,Paldea,Bungalow,0,2,Tile,0,0,Wood,Basic,Missing,1,473,0
Unfezant,Carvanha,Pawmot,Electrike,41.0703,-5.956,Luxury,Permanent,Basic,Budget,Fiore,Paldea,Lodge,0,2,Tile,0,0,Tile,Kitchenette,Pool Access,1,279,0
Raboot,Tandemaus,Boldore,Regigigas,47.9022,12.6358,Standard,Mobile,All-Inclusive,Premium,Ransei,Kanto,Villa,1,4,Tile,1,0,Wood,Basic,Furniture,2,610,1
Noivern,Empoleon,Unown,Charjabug1,47.7929,12.3606,Family,Permanent,Serviced,Budget,Ransei,Kanto,Lodge,0,1,Missing,0,0,Canvas,Full,Furniture,1,493,1
Cetoddle,Komala,Fraxure,Grumpig,48.8054,14.5094,Romantic,Permanent,Basic,Premium,Ransei,Kanto,Lodge,0,3,Tile,0,1,Tile,Full,BBQ,2,756,1
Doduo,Snorlax,Oinkologne,Darmanitan,39.3548,-4.6887,Comfort,Mobile,Basic,Mid,Fiore,Paldea,MobileHome,0,1,Wood,1,0,Thatched,Full,Hot Tub,2,355,1
Eiscue,Lechonk,Silvally,Kricketot,58.4149,4.4327,Romantic,Permanent,Serviced,Mid,Ferrum,Hisui,Tent,0,2,Composite,0,1,Metal,Full,Garden,2,348,1
Persian,Cascoon,PorygonZ,Skiploom,37.2923,-6.6072,Luxury,Permanent,Serviced,Budget,Fiore,Hoenn,Tent,0,1,Composite,0,0,Tile,Basic,Missing,1,271,0
Totodile,Larvitar,Spearow,Cobalion1,45.7477,3.0017,Family,Mobile,Self-Catering,Premium,Orre,Kalos,Lodge,1,2,Wood,0,1,Metal,Kitchenette,Pool Access,1,628,1
Trevenant,Clobbopus,Slowpoke1,Lampent,36.3079,-3.1313,Standard,Mobile,All-Inclusive,Budget,Fiore,Hoenn,Villa,0,2,Tile,0,0,Thatched,Missing,BBQ,1,221,0
Gliscor,Torracat,Quaquaval,Sizzlipede,47.8514,-2.5047,Family,Mobile,Serviced,Mid,Orre,Johto,Bungalow,0,2,Composite,0,0,Tile,Full,Hot Tub,1,202,0
Cradily,Nidorina,Inkay,Chimchar,44.9512,5.2246,Luxury,Permanent,Serviced,Mid,Orre,Kalos,Lodge,0,2,Composite,0,0,Thatched,Basic,Pool Access,1,534,1
Vespiquen,Pumpkaboo,Mawile,Houndour,35.0328,21.9128,Luxury,Mobile,All-Inclusive,Budget,Lental,Alola,MobileHome,0,2,Tile,0,0,Thatched,Basic,BBQ,1,259,0
Remoraid,Salazzle,Sunkern,Murkrow,52.3732,22.5853,Luxury,Permanent,All-Inclusive,Premium,Oblivia,Unova,Lodge,0,2,Wood,1,1,Metal,Missing,Garden,3,435,1
Croagunk,Milotic,Azelf,Shaymin,49.626,12.0264,Standard,Mobile,All-Inclusive,Premium,Ransei,Kanto,Villa,0,5,Stone,1,1,Tile,Missing,Pool Access,1,811,1
Seismitoad,Monferno,Porygon2,Xurkitree,37.1466,-2.677,Family,Permanent,All-Inclusive,Mid,Fiore,Hoenn,Villa,0,3,Stone,0,0,Thatched,Missing,Furniture,2,322,0
Clefairy,Elekid,Dialga,Skitty,47.7514,-0.5416,Luxury,Seasonal,Basic,Premium,Orre,Johto,Cabin,1,3,Wood,0,0,Thatched,Kitchenette,Hot Tub,1,368,1
Skorupi,Magikarp,Grafaiai,Hariyama,37.1015,-2.476,Luxury,Permanent,Basic,Budget,Fiore,Hoenn,Villa,0,1,Tile,0,0,Thatched,Missing,Hot Tub,1,427,0
Ampharos,Dialga1,Hakamoo,Turtonator,49.4208,12.0395,Luxury,Permanent,Serviced,Premium,Ransei,Kanto,Caravan,0,2,Stone,0,1,Canvas,Full,BBQ,3,247,1
Torkoal,Swampert,Magmortar,Gastly,49.3716,-1.3772,Standard,Seasonal,Basic,Mid,Orre,Johto,Cabin,0,2,Missing,0,0,Tile,Missing,Furniture,2,271,1
Magmar,Nidorina1,Yveltal,Tepig,57.664,-3.5596,Comfort,Mobile,All-Inclusive,Mid,Pasio,Galar,MobileHome,0,3,Tile,0,1,Canvas,Full,Missing,1,401,0
Cryogonal,Blitzle,Umbreon,Grafaiai1,52.0568,18.8801,Standard,Mobile,All-Inclusive,Premium,Oblivia,Unova,Villa,1,5,Stone,1,0,Metal,Missing,BBQ,1,667,1
Xerneas,Larvitar1,Quagsire,Ironvaliant,55.7747,-4.2576,Comfort,Permanent,Basic,Mid,Pasio,Galar,Cabin,1,2,Stone,0,0,Tile,Kitchenette,Hot Tub,2,301,0
Cherrim,Zarude,Oricorio,Dragonite,60.4951,5.0637,Standard,Mobile,Basic,Budget,Ferrum,Hisui,Bungalow,0,2,Composite,0,0,Canvas,Basic,Garden,1,313,0
Gengar,Munchlax1,Stantler,Passimian,44.4739,7.3311,Standard,Static,Basic,Mid,Orre,Kalos,MobileHome,1,1,Composite,0,1,Canvas,Basic,BBQ,1,445,1
Tyranitar,Pansage,Larvesta,Hawlucha,38.7327,-1.4788,Comfort,Mobile,Basic,Mid,Fiore,Paldea,Glamping,0,1,Stone,0,1,Tile,Basic,Garden,1,242,1
Servine,Rhyhorn,Empoleon1,Eiscue1,45.3305,3.0008,Family,Mobile,All-Inclusive,Mid,Orre,Kalos,Villa,0,2,Composite,1,0,Tile,Basic,Missing,2,516,1
Komala1,Crabominable,Mudkip,Tyrunt,47.0111,9.7228,Standard,Mobile,Self-Catering,Mid,Ransei,Kanto,MobileHome,1,1,Stone,1,0,Wood,Missing,BBQ,2,429,1
Snivy,Ironhands,Arrokuda,Orthworm,60.6512,16.6104,Luxury,Seasonal,Self-Catering,Mid,Almia,Sinnoh,Cabin,0,2,Missing,0,0,Tile,Gourmet,BBQ,2,411,1
Clawitzer,Miltank,Kyogre,Rhydon,51.7538,21.8435,Standard,Permanent,All-Inclusive,Premium,Oblivia,Unova,Caravan,0,4,Wood,0,0,Tile,Basic,Garden,3,303,1
Noivern1,Glimmora,Cetoddle1,Steenee1,47.6897,10.8081,Romantic,Permanent,Serviced,Budget,Ransei,Kanto,Villa,0,1,Missing,0,0,Metal,Missing,Garden,1,498,0
Falinks,Cramorant,Pinsir,Flamigo,58.9219,16.2075,Standard,Permanent,Serviced,Premium,Almia,Sinnoh,Bungalow,1,4,Tile,0,1,Metal,Kitchenette,Furniture,1,326,1
